COUNTRY,RES_IMF
Albania,0.523573227449454
Algeria,0.533797804380341
"Andorra, Principality of",0.547593387368828
Angola,0.5199195167119547
Antigua and Barbuda,0.5458091277059333
Argentina,0.5382775319886134
"Armenia, Republic of",0.5391337161285493
"Aruba, Kingdom of the Netherlands",0.5494852780436211
Australia,0.5679347655771234
Austria,0.5525720286079896
"Azerbaijan, Republic of",0.5500392240431724
"Bahamas, The",0.5422444928641897
"Bahrain, Kingdom of",0.5421649830726283
Bangladesh,0.5354674350129255
Barbados,0.5063144688852237
"Belarus, Republic of",0.5505616753392598
Belgium,0.5550152899269447
Belize,0.5272016415717373
Benin,0.5417370039520857
Bhutan,0.5499756782879079
Bolivia,0.48991514367270206
Bosnia and Herzegovina,0.5306827140735543
Botswana,0.5240521261559354
Brazil,0.5129203278226777
Brunei Darussalam,0.5510410955561479
Bulgaria,0.5306066336704277
Burkina Faso,0.5354797407206858
Burundi,0.5219175081133077
Cabo Verde,0.5092673956289498
Cambodia,0.5405698602157019
Cameroon,0.5062887272109234
Canada,0.5507250600125811
Chad,0.547720052156789
Chile,0.5282080561156262
"China, People's Republic of",0.6095544941643144
Colombia,0.508712171977667
"Congo, Democratic Republic of the",0.5230844377401438
"Congo, Republic of",0.5330754167660269
Costa Rica,0.513416096583314
"Croatia, Republic of",0.5376776930547102
Cyprus,0.5598400832729661
Czech Republic,0.5446339040457043
Côte d'Ivoire,0.5325737702350819
Denmark,0.594149658160184
Djibouti,0.5146586308668636
Dominica,0.5195290496441324
Dominican Republic,0.5197960769940532
Ecuador,0.4977445115258958
"Egypt, Arab Republic of",0.4950880804405005
El Salvador,0.5365121186182803
"Equatorial Guinea, Republic of",0.5188604246348253
"Estonia, Republic of",0.5480733205127238
"Eswatini, Kingdom of",0.5088223476998581
"Ethiopia, The Federal Democratic Republic of",0.520937393884691
"Fiji, Republic of",0.4876912252260684
Finland,0.5445811397880965
France,0.5487912985311119
G7,0.6004359207991632
Gabon,0.5427663923991725
"Gambia, The",0.5318346013728594
Georgia,0.543810368387006
Germany,0.564878576191519
Ghana,0.5309676371503184
Greece,0.5641377586388191
Grenada,0.5349916743906752
Guatemala,0.5316860845851942
Guinea,0.5245969979181556
Guinea-Bissau,0.5159814609391055
Guyana,0.5613877273644003
Haiti,0.5157636998818788
Honduras,0.5325474228380744
"Hong Kong Special Administrative Region, People's Republic of China",0.5663039005747306
Hungary,0.5304883895425884
Iceland,0.5573773488929771
India,0.5593769281750249
Indonesia,0.5373577229957004
"Iran, Islamic Republic of",0.6076111661236245
Iraq,0.5073183816699951
Ireland,0.6099004029115819
Israel,0.5409891141151739
Italy,0.5451142342978642
Jamaica,0.5244482104178395
Japan,0.5470196667713204
Jordan,0.54214138291711
