ISO3,country,MEAN_RANK,RANK_STD,RVI,RANK_FLIP_PROB,STABILITY_RAW,STABILITY_SCORE,CAPABILITY_SCORE,UNCERTAINTY,QSSI_SCORE,STABILITY_CLASS,CAPABILITY_CLASS
ARE,United Arab Emirates,18.8374,5.410929794406827,0.2872439824030696,0.3832,0.5986432412785364,0.6060119634523444,0.910389909130687,0.6704439824030696,0.7531256257561898,Highly Stable,Very High Capability
BHR,Bahrain,53.8092,6.463760156441477,0.12012369922469307,0.3501,0.6801686032726444,0.7807329290081784,0.7279732977122265,0.4702236992246931,0.7286267658096944,Highly Stable,Very High Capability
ISL,Iceland,24.7476,6.393238165436936,0.2583377040674085,0.4173,0.5967877170420673,0.6014415509516818,0.879561680191788,0.6756377040674085,0.726947035720108,Highly Stable,Very High Capability
CHE,Switzerland,18.233,6.947136892274358,0.38101995787272186,0.3818,0.5672729058540654,0.5268737143123028,0.9135425235211764,0.7628199578727218,0.7039849601985108,Stable,Very High Capability
LTU,Lithuania,23.9855,8.329195024130469,0.34725959532981215,0.4007,0.5720956037380921,0.5392321292128238,0.8835368744786709,0.7479595953298122,0.6895067315446664,Stable,Very High Capability
IRL,Ireland,9.8494,6.347749179039886,0.6444807986674728,0.21,0.5392344858563889,0.45485389760635636,0.9572722687298246,0.8544807986674727,0.6884966451660411,Stable,Very High Capability
CAN,Canada,11.3522,5.614975971453473,0.4946156666512973,0.353,0.5412381038164964,0.45997361873281034,0.9494335048217712,0.8476156666512973,0.6861047821020428,Stable,Very High Capability
EST,Estonia,14.6252,6.697098249241915,0.4579149856948281,0.3712,0.5467124854483267,0.474001948225797,0.932361190294849,0.8291149856948281,0.682807851646515,Stable,Very High Capability
FRA,France,15.9881,6.387531478591749,0.39951785879449286,0.4336,0.5455186611174181,0.47093844890328057,0.9252521595986245,0.8331178587944928,0.6753684369629983,Stable,Very High Capability
CHL,Chile,43.7467,12.024630518647971,0.27486943057129115,0.3798,0.6043503200846225,0.6199504106103729,0.7804603630734106,0.6546694305712912,0.6641812753889653,Highly Stable,Very High Capability
GHA,Ghana,83.1499,6.132832134503585,0.07375633806450553,0.3075,0.7239785783725392,0.8482574049706432,0.5749291000831189,0.38125633806450554,0.6593333357269318,Highly Stable,High Capability
PAN,Panama,105.9646,5.304427098188799,0.05005848272101004,0.1349,0.8439114235493792,0.9505366721573023,0.45592520939036796,0.18495848272101004,0.6520388416375615,Highly Stable,Mid Capability
LUX,Luxembourg,11.3144,7.431470422466795,0.656815246218092,0.2613,0.5213451078978071,0.4096864188713705,0.9496306736238237,0.9181152462180919,0.6510926036629058,Moderate,Very High Capability
